gene	gene_name	beta.old	p.old	p_adj.old	beta.hmm	p.hmm	p_adj.hmm	sig_both
YNL124W	NAF1	-0.19819683816451011	0.10048769222588616	0.31610409473624396	-0.20373978750734079	0.12221377080573466	0.3441509066697705	0
YNL123W	NMA111	-0.10978555470540778	0.23123510529538233	0.5079709776121331	-0.11589532030158749	0.24667028254031778	0.5110128320784352	0
YNL122C	YNL122C	0.03493059032566504	0.7290644351161752	0.8850977197581851	0.030328616342838413	0.7831020609793172	0.9075047475567182	0
YNL121C	TOM70	0.05820184873694796	0.2656585941356326	0.5461379068199392	0.06183605199157767	0.27356378634218564	0.5432480214193889	0
YNL119W	NCS2	0.09086085650201454	0.40370215926940434	0.675764740110828	0.09415567025497948	0.42407802741129086	0.6741506365042934	0
YNL118C	DCP2	0.0024607195831128146	0.9745685408251707	0.9901244648806304	-0.05055155521956818	0.5520413982819482	0.7779053746347983	0
YNL117W	MLS1	-0.495899959557322	1.5295151347202046e-5	2.5410690424622785e-4	-0.5076591313990629	6.484538296710991e-5	8.779205025464244e-4	1
YNL116W	DMA2	-0.20494200362317294	0.003156794574074189	0.02626731783962241	-0.22990601304134875	0.0023245759520697184	0.01861559925015309	1
YNL115C	YNL115C	-0.15225951831691026	0.10775962106724746	0.32987501739574004	-0.15645454421465652	0.13388800281067845	0.3620881814947465	0
YNL113W	RPC19	0.07611097702222804	0.23948375696404825	0.5165976641200707	0.1118068242585206	0.1071183998614924	0.3148403095206869	0
YNL112W	DBP2	0.04238121377056566	0.6482768219060264	0.8460342864782225	-0.014820898148264035	0.8813846396142262	0.9510493436260068	0
YNL111C	CYB5	0.1165864376278233	0.11302117972497627	0.3396179042502199	-0.0948444078133716	0.16918728619954265	0.4166768289768636	0
YNL110C	NOP15	0.12249351427281173	0.1733632361900343	0.4337674040988945	0.2007180784520137	0.043361100997627834	0.17333830015446494	0
YNL108C	YNL108C	-0.09116159497485707	0.31587893224376556	0.5979410083412353	0.0011878464789267687	0.9907285490104043	0.9981749263714291	0
YNL107W	YAF9	-0.009300694812526846	0.9176454943559328	0.9646890964904391	0.028955543347074984	0.7723143741870911	0.9027611901445152	0
YNL106C	INP52	0.0710674743099404	0.5673425608089797	0.7963708224695801	-0.01413821564315294	0.9192850903646205	0.9684834898267722	0
YNL104C	LEU4	-0.04392859417987519	0.2579634583830047	0.5386732037090803	-0.022875817930913256	0.5951789953201109	0.8061232224156551	0
YNL317W	PFS2	-0.043885551157597055	0.6451411722087508	0.844460608330695	-0.04172448187654373	0.6919833716746497	0.8606992487364487	0
YNL316C	PHA2	0.44529730627744485	1.9859516050376867e-5	3.2016936895689816e-4	0.5959556086030747	4.089061764887717e-7	8.828410444808238e-6	1
YNL315C	ATP11	-0.09968621066965608	0.15004871543635234	0.4013278348202018	-0.06147072754153096	0.42373537370573205	0.6741506365042934	0
YNL103W	MET4	0.05312745033865313	0.5237731700462713	0.7675868801898392	0.13363160310308736	0.17685862832288946	0.4266628296980352	0
YNL102W	POL1	0.09042395468415186	0.474818835440218	0.7331666735721784	0.17522426127904192	0.24105173758988124	0.5040079206177508	0
YNL101W	AVT4	-0.0903492906410903	0.1316678912892016	0.373268418789931	-0.1459337419501493	0.03621049991074799	0.15116495746386363	0
YNL100W	MIC27	0.06647617330725764	0.258197486689189	0.5387083364255919	0.08204712890404424	0.23197314720592924	0.4945195278191645	0
YNL099C	OCA1	-0.024559519013601375	0.6973518515661771	0.8703009309733551	-0.025603731847814705	0.7292335192318908	0.880898016413278	0
YNL098C	RAS2	-0.09637559442233358	0.010076156560303313	0.0652018214813875	-0.06371965633061955	0.14510909007222494	0.37828704810849706	0
YNL097C	PHO23	-0.13031537591663742	0.16474281348715877	0.42184144665651263	-0.13301256509368153	0.22774036344955792	0.4904022501169962	0
YNL096C	RPS7B	0.11691067897784398	7.637545495750596e-7	1.5996414732766525e-5	0.0929744690734372	5.803901574719658e-4	0.005700385093727663	1
YNL094W	APP1	0.2522673904752517	6.631192257742537e-4	0.007080495262569973	0.261036685046789	0.0029259683393296028	0.022371561358899193	1
YNL092W	YNL092W	0.2615742710457494	0.0733930971225473	0.2612197305719712	0.27349171177849185	0.1129705139385694	0.3278084599247653	0
YNL314W	DAL82	-0.11167272613525647	0.266360587622665	0.5466638358202183	-0.16696234844978544	0.13485663270378048	0.36295022343834604	0
YNL313C	EMW1	0.31608418121974363	0.0023462674528967943	0.02061577107034324	0.3454399546693702	0.002789190683559011	0.021595297851694648	1
YNL091W	NST1	-0.016967917662297854	0.7718205363189059	0.9025538192991068	-0.026692410889383896	0.6750687995839298	0.8509044986765114	0
YNL090W	RHO2	0.01746863428643314	0.7984811651801924	0.9124169248188676	0.023673169115253766	0.7497366738165628	0.8907321471894996	0
YNL088W	TOP2	-0.16077925809782745	0.029385290843723124	0.1417493212845345	-0.13301507061865891	0.09611294666325829	0.29514382932119604	0
YNL087W	TCB2	-0.16298719595522532	0.0332152656632642	0.15504019265492985	-0.1530339357768943	0.06865233285683835	0.23795267562331313	0
YNL086W	SNN1	0.2015488346667116	0.19603624151464255	0.4686244937980433	0.2388623548587005	0.15958562261495884	0.4014804819642961	0
YNL085W	MKT1	-0.11680642596512437	0.08514262503032673	0.285108751884594	-0.10846274844074463	0.1352162612808856	0.3635188680952388	0
YNL084C	END3	-0.05455162122732679	0.30722178004353784	0.5893126982361562	-0.03319616707295753	0.5620976002424234	0.785143503805086	0
YNL083W	SAL1	0.20511332940899804	0.0627068117184443	0.23417390127160453	0.20859802380810294	0.07626070636375674	0.25512199446332545	0
YNL082W	PMS1	-0.0329212826369552	0.8197328908850541	0.9239905469704807	-0.07275969944335674	0.6328445739273212	0.8263724832231848	0
YNL081C	SWS2	0.09552374411515853	0.13028328651938087	0.37166378767839675	0.040550834693185135	0.5408999860778094	0.7719970150141531	0
YNL080C	EOS1	0.030041877238029337	0.6939434691774637	0.8691554874272233	0.040486562076028236	0.6143645011070099	0.8166187339202491	0
YNL079C	TPM1	-0.04751155862365788	0.08501747396482545	0.2850004376891994	-0.020786898570863344	0.46716338685016606	0.7121392795678283	0
YNL078W	NIS1	-0.22585302928760462	0.009934782850244262	0.06457608852658771	-0.24490215734754234	0.0084854676878526	0.052442972431482465	0
YNL077W	APJ1	0.026574064971381928	0.8485588011417304	0.9356179898712627	0.021309339059648352	0.8857234420130607	0.9538144521191046	0
YNL076W	MKS1	-0.07126830664591834	0.4279414474725663	0.6984152627582575	-0.029682547303364663	0.7581515881767683	0.8952085722506141	0
YNL075W	IMP4	-0.11781446301887886	0.15375794056004127	0.40558001436208946	-0.15366269832549329	0.08076833043807131	0.2647397971449882	0
YNL074C	MLF3	-0.03433259305624373	0.5806405883089829	0.8052403857674945	0.012965547565114003	0.8455716123564738	0.9387106627990365	0
YNL312W	RFA2	-0.011540126043159724	0.855026020598257	0.9376778981767864	-0.02155143443193543	0.7582148099188531	0.8952085722506141	0
YNL311C	SKP2	-0.2086644834072055	0.10138747721721139	0.3178039168232254	-0.2698233915633705	0.059594086056199924	0.21523258346458055	0
YNL073W	MSK1	0.2419020545181056	0.011179113223838478	0.07042266569412903	0.24227270900137537	0.014220655894882195	0.07661001960204367	0
YNL072W	RNH201	0.1708922350065465	0.16650430784960793	0.42413597337366343	0.1856654701323656	0.14758465316438812	0.3823004149887242	0
YNL071W	LAT1	-0.05725296826963593	0.09667575363622222	0.3064733949360447	-0.06335872055081784	0.07570891213037326	0.2539783656675499	0
YNL070W	TOM7	0.07516886684351537	0.05426552277567231	0.21361873664543773	0.07761970917162922	0.05321152141803798	0.19801796998466523	0
YNL069C	RPL16B	0.006678255991048569	0.7701480491980027	0.9017712355251487	-0.004239490621382909	0.8520075567722712	0.9415307859618719	0
YNL068C	FKH2	-0.1417625485420956	0.3957637363736179	0.6699958797813821	-0.21916774229893815	0.20335302776737485	0.4607643037854388	0
YNL067W	RPL9B	0.17818730465457483	1.4419505791145924e-13	6.730475988800588e-12	0.18089523162169338	1.1353978996221507e-13	5.29960486290301e-12	1
YNL066W	SUN4	0.03855996414432444	0.47866040701470286	0.7357646907185975	0.025170764287267777	0.6469249328758127	0.8332665166949692	0
YNL064C	YDJ1	0.009642790576383961	0.809246580765845	0.9181999489564636	-0.0019800649401644477	0.9613107561812809	0.9858514367115416	0
YNL063W	MTQ1	0.016026627411712582	0.8655944934705028	0.9421005135462879	0.007049756504222575	0.9427600910932362	0.9779295570374134	0
YNL062C	GCD10	0.07737018846979225	0.2631417038025313	0.5425567902129601	0.05066488020871788	0.47887223110449634	0.7205872903417674	0
YNL061W	NOP2	-1.209060716893905	8.095052145808518e-26	8.441244801405861e-24	-1.2023191514985205	2.0980610612694245e-24	2.1877866513364786e-22	1
YNL059C	ARP5	0.03287981617084587	0.6624145280122021	0.8518744691125172	0.014319878665699382	0.854087190740255	0.9422865102465445	0
YNL058C	YNL058C	-0.40663743057911417	3.0283343267594376e-4	0.0035936722846121073	-0.3943847350065951	5.712255834916819e-4	0.005644307630428897	1
YNL056W	OCA2	0.36026280943691114	7.724802816436178e-8	1.9515081754306036e-6	0.4002736907985407	5.0452974373497924e-9	1.4895784783404418e-7	1
YNL055C	POR1	-0.22573185390869338	1.822743855658755e-15	9.660720090417807e-14	-0.18801971231500533	1.171515194027438e-11	4.5932767727427787e-10	1
YNL054W	VAC7	0.08018660896182007	0.41944180053304403	0.6898269343665936	0.15888908268874227	0.13008518426352508	0.3563906482583231	0
YNL310C	ZIM17	-0.1518130966852904	0.073765376991957	0.26197399466491395	-0.02295619630328633	0.8187691194703764	0.9241795150908141	0
YNL309W	STB1	-0.07438780485409256	0.6186299384618689	0.8270336411351935	0.05382920318616479	0.7609297960262692	0.8960760747517144	0
YNL053W	MSG5	0.004083796798585174	0.9628191207363377	0.9846528510622428	0.05121052895788532	0.5863274488874858	0.8020976544019988	0
YNL052W	COX5A	0.03892493181863356	0.38380140101010296	0.6590787198144761	0.05099636503380822	0.26879002690696174	0.5368133340957699	0
YNL051W	COG5	-0.3293211258851412	2.264740463266777e-4	0.002817130205703166	-0.35312967875150536	2.2608006372898422e-4	0.002613250925320169	1
YNL050C	YNL050C	-0.0730438822382533	0.6211487575510561	0.827691696780241	-0.09661701330364293	0.540986754660837	0.7719970150141531	0
YNL049C	SFB2	0.19767930962100155	0.023790982947919204	0.12281379129137497	0.24552698017331692	0.008461183067334118	0.05235891188510671	0
YNL048W	ALG11	0.04628984241895357	0.5059876733708109	0.7546274088829558	0.02962505295179387	0.69251106601339385	0.8606992487364487	0
YNL047C	SLM2	-0.08687855168703601	0.4347313769032156	0.7023595497515887	-0.0821104257490755	0.487462897742321	0.7274834536647732	0
YNL046W	YNL046W	-0.029952748825895777	0.7173505638470989	0.8788569620195545	-0.07308681027007273	0.3971042303474184	0.6561725667338831	0
YNL045W	LAP2	-0.1796947211564148	0.010109052159593885	0.06527597448507198	-0.20530658751561445	0.005388391054776391	0.03686708378443621	0
YNL308C	KRI1	-0.024273757660350063	0.7354352615125404	0.8864653754729366	-0.05099811196385651	0.542107887855137	0.7722508916207327	0
